date,nav,economic_nav,cash,cash_ratio,holdings,dividend_receivable,odd_residual_names,fees,taxes,costs,traded_notional,turnover,violations,active_cap_breaches,passive_cap_breaches,overdue_passive_caps,active_share_status,submission_status,stale_count,executed_plan
2025-12-08,1280148706.9619873,1299345886.9619873,98641092.81098628,0.0770544017851477,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-12-09,1278293864.508984,1297491044.508984,98641092.81098628,0.07716621001609526,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-12-10,1286640549.4149902,1305837729.4149902,98641092.81098628,0.0766656179582063,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-12-11,1273656864.508984,1292854044.508984,98641092.81098628,0.07744714888261059,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-12-12,1275511706.9619873,1294708886.9619873,98641092.81098628,0.07733452564377441,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-12-15,1263455478.6599853,1282652658.6599853,98641092.81098628,0.07807247226123436,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-12-16,1253254092.8109863,1272451272.8109863,98641092.81098628,0.07870797580220883,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-12-17,1246762321.1129882,1265959501.1129882,98641092.81098628,0.07911780067505497,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-12-18,1246762321.1129882,1265959501.1129882,98641092.81098628,0.07911780067505497,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-12-19,1257891092.8109863,1277088272.8109863,98641092.81098628,0.07841783233439933,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-12-22,1274584321.1129882,1293781501.1129882,98641092.81098628,0.07739079414130187,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
