date,A,A_dplan_guard,v1_matched,0050
2025-10-07,1453978773.8830297,1399159590.3381288,1394293443.1396816,1243052706.9619873
2025-10-08,1452692907.7829998,1396428288.5630803,1401456533.5802283,1232851321.1129882
2025-10-09,1468819218.0132046,1418907076.8958073,1422827037.808985,1241197864.508984
2025-10-13,1445419109.7573228,1403469421.402451,1405970215.3618257,1230069092.8109865
2025-10-14,1396297313.9768677,1366005763.5852656,1374289533.3570042,1224504706.9619873
2025-10-15,1435938762.777836,1415733928.5978303,1412909445.5603745,1244907478.6599853
2025-10-16,1477592393.2447207,1442649269.4158945,1458042753.5471275,1267165092.8109865
2025-10-17,1470904512.3741066,1440567661.6104958,1448396906.3309562,1249544478.6599853
2025-10-20,1494366034.4540594,1459450205.487552,1467535691.2944112,1269019864.508984
2025-10-21,1504436018.3289022,1457906284.0504138,1478072862.486674,1270874706.9619873
2025-10-22,1502961268.2224927,1461083698.875609,1476808318.6817346,1261600706.9619873
2025-10-23,1508605738.3040695,1461349871.505865,1479136174.5812094,1255108864.508984
2025-10-27,1583368355.939316,1516393789.3708465,1541404586.4889655,1282003478.6599853
2025-10-28,1590123435.4421945,1538157678.949964,1558181056.3681896,1273656864.508984
2025-10-29,1612776418.6297865,1553196592.0119152,1580957187.0389953,1293132321.1129882
2025-10-30,1616203821.1093976,1560824701.4931254,1588111124.9584394,1293132321.1129882
2025-10-31,1627008160.178254,1568317273.6067555,1592448044.3345313,1299624092.8109865
2025-11-03,1642643396.0821562,1578701651.49814,1597193047.5621474,1288495321.1129882
2025-11-04,1592955078.1148224,1530870838.6611023,1553429588.6694567,1284785706.9619873
2025-11-05,1609570653.81578,1548356958.3220258,1572562146.1876836,1269947321.1129882
2025-11-06,1656771084.9791117,1589490732.2740755,1607759038.216444,1272729478.6599853
2025-11-07,1647761403.904935,1573661827.653072,1592456635.4072094,1258818478.6599853
2025-11-10,1714362668.8016477,1613571030.2670388,1627572678.7088685,1273656864.508984
2025-11-11,1717600359.5810823,1605798707.4661198,1627399448.5586045,1265310321.1129882
2025-11-12,1722258041.5982857,1609765782.3805056,1628360589.6528964,1270874706.9619873
2025-11-13,1735622761.090816,1620418317.3639078,1639718768.6929758,1265310321.1129882
2025-11-14,1684072148.9509015,1574258608.4121866,1598822510.6183772,1243052706.9619873
2025-11-17,1711263912.2297564,1605791927.900137,1620154717.5718148,1246762321.1129882
2025-11-18,1645307374.7154286,1544006993.4190683,1575087592.669343,1219867706.9619873
2025-11-19,1620001004.3525517,1525833653.994265,1550419718.893765,1212448478.6599853
2025-11-20,1664894340.723377,1563341928.0055585,1584730753.8150284,1246762321.1129882
2025-11-21,1562520007.8045015,1473384479.059096,1505751967.38536,1208738864.508984
2025-11-24,1566414339.0738142,1482339761.7573042,1526432517.5098538,1203174478.6599853
2025-11-25,1596386217.8462038,1508306339.2887423,1540981732.2437308,1218012864.508984
2025-11-26,1572590007.0065713,1497231756.9230697,1518490204.0157928,1236560864.508984
2025-11-27,1615246624.4696264,1535640075.752078,1556806835.417927,1246762321.1129882
2025-11-28,1645597825.2359917,1559818796.6583972,1587444966.4822571,1255108864.508984
2025-12-01,1622150222.9473624,1530413140.5513542,1566439531.127342,1239343092.8109865
2025-12-02,1613064013.8948536,1523947943.6661425,1570745107.6491494,1243052706.9619873
2025-12-03,1610434921.36245,1529534577.3982344,1571356009.4029217,1254181478.6599853
2025-12-04,1599131260.5622022,1517537981.1688962,1549899954.9558816,1252326706.9619873
2025-12-05,1628285811.0191932,1541578574.049461,1572325863.7536576,1262528092.8109865
2025-12-08,1661934373.5550172,1558554461.8382645,1586479534.830039,1280148706.9619873
2025-12-09,1676009320.5443304,1575534968.4529495,1610729914.9037216,1278293864.508984
2025-12-10,1667823698.2649844,1587244488.401381,1606391239.0501442,1286640549.4149902
2025-12-11,1663242451.7742753,1576931668.8231409,1595647213.441188,1273656864.508984
2025-12-12,1707045375.351428,1609012891.831502,1635537916.5042808,1275511706.9619873
2025-12-15,1693328040.53471,1589984252.4444604,1624020838.0373392,1263455478.6599853
2025-12-16,1639628676.0159411,1546964075.4463725,1572771268.0947008,1253254092.8109865
2025-12-17,1651175190.0528011,1536515694.0907454,1558110132.330909,1246762321.1129882
2025-12-18,1644599178.9908948,1527128855.9116836,1544712892.7785952,1246762321.1129882
2025-12-19,1671333919.2472825,1551227017.6030562,1568509588.4172606,1257891092.8109865
2025-12-22,1718001256.5917118,1575455992.7085211,1599566046.553691,1274584321.1129882
2025-12-23,1730649040.471059,1594650685.7777717,1607550123.2540646,1280148706.9619873
2025-12-24,1774446177.4061987,1624485764.7841263,1625910744.575919,1282930864.508984
2025-12-26,1790957684.1606195,1644048571.6783085,1644359734.54831,1293132321.1129882
2025-12-29,1790621924.7879794,1628096701.8466218,1624184749.2782817,1308898092.8109865
2025-12-30,1814555489.8919792,1642868687.6552467,1644133024.0357237,1307043321.1129882
2025-12-31,1822986447.5887303,1644455219.9008603,1646507874.480523,1315389864.5089843
2026-01-02,1868073237.45966,1656578152.904098,1662579120.426722,1340429692.8109865
2026-01-05,1887145063.5198631,1685151963.2348485,1673206268.1301615,1387727092.8109865
2026-01-06,1942368938.41994,1718744223.4331603,1697718239.0507598,1404420292.8109865
2026-01-07,1955123143.9230185,1713587361.6898496,1704338276.6765685,1394218892.8109865
2026-01-08,1972851759.2940829,1726971864.1788805,1710246492.270064,1398855892.8109865
2026-01-09,1929742311.1391287,1713842300.584856,1701779342.877145,1394218892.8109865
2026-01-12,1977489900.3763735,1738008761.498186,1748659527.3392005,1403492892.8109865
2026-01-13,1961090532.761836,1733324375.0544715,1732937774.9907994,1409984692.8109865
2026-01-14,1987813735.0384245,1768161999.2922144,1754982786.8890064,1410912092.8109865
2026-01-15,2000945470.412919,1775445892.678789,1773152196.6466525,1409057292.8109865
2026-01-16,2057396000.8468509,1805059788.905046,1806881921.43648,1434097092.8109865
2026-01-19,2121038406.569265,1841565027.8446772,1842946483.133308,1445225892.8109865
2026-01-20,2131679271.3355744,1852970694.5556076,1877619568.0803845,1445225892.8109865
2026-01-21,2062118541.6927888,1803713290.615048,1853732482.3016691,1431314892.8109865
2026-01-22,2106046426.5070367,1832141901.400732,1876191365.0957267,1430387492.8109865
2026-01-23,2103855617.2851815,1850905354.778825,1884149929.31514,1438734092.8109865
2026-01-26,2173287184.590732,1903796998.27632,1939356258.2990189,1438734092.8109865
2026-01-27,2189100213.5550594,1929098520.5908165,1967125739.1994672,1453572492.8109865
2026-01-28,2275749499.885462,1975411203.6955335,2010206457.074033,1474902692.8109865
2026-01-29,2251989727.5086665,1938747028.296652,1984127144.0557563,1466556092.8109865
2026-01-30,2281556156.0050592,1941054429.2956927,1999692973.467048,1445225892.8109865
2026-02-02,2174282151.7571497,1892309979.1665823,1938427305.1741812,1424823092.8109865
2026-02-03,2175570249.49479,1937168051.2318287,1981421530.6416104,1451717692.8109865
2026-02-04,2243383864.177287,1987151848.150247,2038294665.691517,1450790292.8109865
2026-02-05,2156401202.809659,1920036246.2655869,1967846471.868811,1434097092.8109865
2026-02-06,2100574208.3736787,1873182005.1163764,1910791614.0842693,1432242292.8109865
2026-02-09,2160500957.254533,1950596653.1348305,1965335412.5906756,1470265692.8109865
2026-02-10,2171468591.9273868,1969396381.7955751,1975219789.6390128,1499015092.8109865
2026-02-11,2206322854.40171,2006965751.3508213,2002585216.949064,1530546692.8109865
2026-02-23,2284736251.2186923,2058582085.8561597,2075726827.2138827,1534256292.8109865
2026-02-24,2389801495.8192625,2147304755.431131,2181614548.5898995,1571352292.8109865
2026-02-25,2420413168.1047955,2186167894.146006,2207421119.0802174,1602883892.8109865
2026-02-26,2458167169.1047955,2228521845.146006,2223459073.5802174,1603811292.8109865
2026-03-02,2454004827.6047955,2242816703.646006,2232649704.5802174,1588972892.8109865
2026-03-03,2381744441.6047955,2195443617.646006,2175685516.5802174,1559296092.8109865
2026-03-04,2226591900.6047955,2064587476.646006,2055279501.080217,1500869892.8109865
2026-03-05,2282871189.1047955,2118168715.146006,2110341058.080217,1534256292.8109865
2026-03-06,2261901312.1047955,2115150238.146006,2114313226.580217,1524054892.8109865
2026-03-09,2113033160.112781,1967548567.9956484,1976639303.7812605,1463773892.8109865
2026-03-10,2169053643.74726,2013473590.62719,2041068432.503056,1493450692.8109865
2026-03-11,2305050245.018826,2136977309.8336627,2159520798.2418227,1549094692.8109865
2026-03-12,2303536721.537679,2153314432.228638,2159123316.8945527,1519417892.8109865
2026-03-13,2334901280.0666885,2180728307.8680573,2196543080.5250263,1507361692.8109865
2026-03-16,2387976496.6102943,2224677752.852989,2254001576.311485,1500869892.8109865
2026-03-17,2432600792.800157,2263467116.991395,2304655977.0053368,1520345292.8109865
2026-03-18,2512327939.617884,2345971804.71983,2401758096.9843926,1541675492.8109865
2026-03-19,2546008534.198466,2395072945.541097,2448991753.6093445,1508289092.8109865
2026-03-20,2548135326.7790537,2420083001.0404463,2445840117.0268235,1506434292.8109865
2026-03-23,2421632059.01327,2332291682.665066,2322490071.9989576,1475830092.8109865
2026-03-24,2342200223.067627,2282051119.270891,2250936695.4256063,1478612292.8109865
2026-03-25,2475478020.100528,2396052879.506473,2361467491.21556,1511998692.8109865
2026-03-26,2487746950.4624763,2394540941.823125,2331813722.6167283,1504579492.8109865
2026-03-27,2486876752.5333576,2396734919.995497,2364058939.110598,1489741092.8109865
2026-03-30,2464981624.1342306,2380665555.216263,2339213113.4673605,1469338292.8109865
2026-03-31,2319403322.451844,2241929958.633044,2207193942.3627634,1440588892.8109865
