official_ticker,canonical_symbol,name,market,previous_exact_symbol_covered,identity_mapping,first_daily,last_daily,daily_warmup_rows,daily_evaluation_rows,complete_4h_warmup_rows,complete_4h_evaluation_rows,known_at,known_at_policy
6290,6290.TWO,良維,TPEX,False,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
6187,6187.TWO,萬潤,TPEX,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
7751,7751.TWO,竑騰,TPEX,False,,2025-08-26,2026-09-21,0,261,0,256,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
3264,3264.TWO,欣銓,TPEX,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
6023,6023.TWO,元大期,TPEX,True,,2024-01-02,2026-09-21,242,417,51,400,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
3324,3324.TWO,雙鴻,TPEX,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
4772,4772.TWO,台特化,TPEX,True,,2024-09-20,2026-09-21,69,417,62,413,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
6510,6510.TWO,精測,TPEX,True,,2024-01-02,2026-09-21,242,417,62,413,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
8932,8932.TWO,智通,TPEX,False,,2024-01-02,2026-09-21,235,410,62,407,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
8358,8358.TWO,金居,TPEX,False,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
6584,6584.TWO,南俊國際,TPEX,False,,2024-01-02,2026-09-21,242,417,61,412,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
3374,3374.TWO,精材,TPEX,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
3227,3227.TWO,原相,TPEX,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
3131,3131.TWO,弘塑,TPEX,True,,2024-01-02,2026-09-21,242,417,62,413,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
4123,4123.TWO,晟德,TPEX,True,,2024-01-02,2026-09-21,242,417,61,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
4749,4749.TWO,新應材,TPEX,False,,2025-01-17,2026-09-21,0,406,0,403,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
3718,5371.TWO,中光電投控,TPEX,False,5371_to_3718_from_2026-09-03,2024-01-02,2026-09-21,242,409,0,39,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
